RefCodeWebCode;Reference_Year;Ref_Code;Source;Web_Code;Web_Year;Web_Decade;Data_Status;From_Database;LATstand;LONGstand;LATabs;LONGabs;Country;ISO3;Hemisphere;Continent;Realm_WWF;Biome_WWF;Ecoregion_WWF;Metanetwork;Plant_taxon_criterion;Plant_Taxonomic_level;Plant_taxon;Plant_trait_criterion;Animal_taxon_criterion;Animal_Taxonomic_level;Animal_taxon;Animal_taxon_2;Animal_taxon_3;Animal_taxon_4;Animal_taxon_5
stouffer_et_al_2014_X_primack_1983_arthur;2014;stouffer_et_al_2014;JOURNAL_OF_ECOLOGY;primack_1983_arthur;1983;1980;Reused;Yes;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
fontaine_&_thebault_2015_X_primack_1983_arthur;2015;fontaine_&_thebault_2015;POPULATION_ECOLOGY;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
fort_&_mugan_2015_X_primack_1983_arthur;2015;fort_&_mugan_2015;ENTROPY;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
sakai_et_al_2016_X_primack_1983_arthur;2016;sakai_et_al_2016;ROYAL_SOCIETY_OPEN_SCIENCE;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
takemoto_&_kajihara_2016_X_primack_1983_arthur;2016;takemoto_&_kajihara_2016;PLOS_ONE;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
nagaishi_&_takemoto_2018_X_primack_1983_arthur;2018;nagaishi_&_takemoto_2018;ROYAL_SOCIETY_OPEN_SCIENCE;primack_1983_arthur;1983;1980;Reused;Yes;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
sydenham_et_al_2018_X_primack_1983_arthur;2018;sydenham_et_al_2018;JOURNAL_OF_BIOGEOGRAPHY;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
cirtwill_et_al_2020_X_primack_1983_arthur;2020;cirtwill_et_al_2020;NEW_PHYTOLOGIST;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
arroyo-correa_et_al_2019_X_arroyo-correa_et_al_2019_1;2019;arroyo-correa_et_al_2019;JOURNAL_OF_ECOLOGY;arroyo-correa_et_al_2019_1;2019;2010;Reused;No;-43.033;171.75;43.033;171.75;New Zealand;NZL;Southern;Oceania;Oceania;Montane_grasslands_and_shrublands;South_Island_montane_grasslands;no;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
arroyo-correa_et_al_2019_X_arroyo-correa_et_al_2019_2;2019;arroyo-correa_et_al_2019;JOURNAL_OF_ECOLOGY;arroyo-correa_et_al_2019_2;2019;2010;Reused;No;-43.033;171.75;43.033;171.75;New Zealand;NZL;Southern;Oceania;Oceania;Montane_grasslands_and_shrublands;South_Island_montane_grasslands;no;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
