RefCodeWebCode;Reference_Year;Ref_Code;Source;Web_Code;Web_Year;Web_Decade;Data_Status;From_Database;LATstand;LONGstand;LATabs;LONGabs;Country;ISO3;Hemisphere;Continent;Realm_WWF;Biome_WWF;Ecoregion_WWF;Metanetwork;Plant_taxon_criterion;Plant_Taxonomic_level;Plant_taxon;Plant_trait_criterion;Animal_taxon_criterion;Animal_Taxonomic_level;Animal_taxon;Animal_taxon_2;Animal_taxon_3;Animal_taxon_4;Animal_taxon_5
schleuning_et_al_2012_X_watts_2008_2;2012;schleuning_et_al_2012;CURRENT_BIOLOGY;watts_2008_2;2008;2000;Reused;No;-13.766;-71.3;13.766;71.3;Peru;PER;Southern;South America;Neotropic;Montane_grasslands_and_shrublands;Central_Andean_wet_puna;no;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
gonzalez_et_al_2015_X_watts_2008_1;2015;gonzalez_et_al_2015;GLOBAL_ECOLOGY_AND_BIOGEOGRAPHY;watts_2008_1;2008;2000;Reused;No;-13.766;-71.3;13.766;71.3;Peru;PER;Southern;South America;Neotropic;Montane_grasslands_and_shrublands;Central_Andean_wet_puna;no;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
gonzalez_et_al_2015_X_watts_2008_2;2015;gonzalez_et_al_2015;GLOBAL_ECOLOGY_AND_BIOGEOGRAPHY;watts_2008_2;2008;2000;Reused;No;-13.766;-71.3;13.766;71.3;Peru;PER;Southern;South America;Neotropic;Montane_grasslands_and_shrublands;Central_Andean_wet_puna;no;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
sonne_et_al_2016_X_watts_2008_1;2016;sonne_et_al_2016;PROCEEDINGS_OF_THE_ROYAL_SOCIETY_B-BIOLOGICAL_SCIENCES;watts_2008_1;2008;2000;Reused;No;-13.766;-71.3;13.766;71.3;Peru;PER;Southern;South America;Neotropic;Montane_grasslands_and_shrublands;Central_Andean_wet_puna;no;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
sonne_et_al_2016_X_watts_2008_2;2016;sonne_et_al_2016;PROCEEDINGS_OF_THE_ROYAL_SOCIETY_B-BIOLOGICAL_SCIENCES;watts_2008_2;2008;2000;Reused;No;-13.766;-71.3;13.766;71.3;Peru;PER;Southern;South America;Neotropic;Montane_grasslands_and_shrublands;Central_Andean_wet_puna;no;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
watts_et_al_2016_X_watts_et_al_2016;2016;watts_et_al_2016;ANNALS_OF_BOTANY;watts_et_al_2016;2016;2010;Original;No;-13.766;-71.3;13.766;71.3;Peru;PER;Southern;South America;Neotropic;Montane_grasslands_and_shrublands;Central_Andean_wet_puna;no;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
ferreira_et_al_2019_X_ferreira_et_al_2019;2019;ferreira_et_al_2019;OECOLOGIA;ferreira_et_al_2019;2019;2010;Original;No;-13.333;-39.183;13.333;39.183;Brazil;BRA;Southern;South America;Neotropic;Tropical_and_subtropical_moist_broadleaf_forests;Bahia_coastal_forests;no;no;NER;Mixed;no;yes;superfamily;Apoidea;Insects;Bees;Bees;Inv-Hymenoptera-Bees
schleuning_et_al_2012_X_machado_2009;2012;schleuning_et_al_2012;CURRENT_BIOLOGY;machado_2009;2009;2000;Reused;No;-13.129;-41.594;13.129;41.594;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds
gonzalez_et_al_2015_X_machado_2009;2015;gonzalez_et_al_2015;GLOBAL_ECOLOGY_AND_BIOGEOGRAPHY;machado_2009;2009;2000;Reused;No;-13.129;-41.594;13.129;41.594;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds
gonzalez_et_al_2015_X_machado_2009;2015;gonzalez_et_al_2015;GLOBAL_ECOLOGY_AND_BIOGEOGRAPHY;machado_2009;2009;2000;Reused;No;-13.129;-41.594;13.129;41.594;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds
sonne_et_al_2016_X_machado_2009;2016;sonne_et_al_2016;PROCEEDINGS_OF_THE_ROYAL_SOCIETY_B-BIOLOGICAL_SCIENCES;machado_2009;2009;2000;Reused;No;-13.129;-41.594;13.129;41.594;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds
sonne_et_al_2016_X_machado_2009;2016;sonne_et_al_2016;PROCEEDINGS_OF_THE_ROYAL_SOCIETY_B-BIOLOGICAL_SCIENCES;machado_2009;2009;2000;Reused;No;-13.129;-41.594;13.129;41.594;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds
araujo_et_al_2018_X_machado_2009;2018;araujo_et_al_2018;JOURNAL_OF_BIOGEOGRAPHY;machado_2009;2009;2000;Reused;No;-13.129;-41.594;13.129;41.594;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds
maruyama_et_al_2018_X_machado_2009;2018;maruyama_et_al_2018;GLOBAL_ECOLOGY_AND_BIOGEOGRAPHY;machado_2009;2009;2000;Reused;No;-13.129;-41.594;13.129;41.594;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds
maruyama_et_al_2018_X_machado_2009;2018;maruyama_et_al_2018;GLOBAL_ECOLOGY_AND_BIOGEOGRAPHY;machado_2009;2009;2000;Reused;No;-13.129;-41.594;13.129;41.594;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds
gonzalez_et_al_2015_X_machado_et_al_2007;2015;gonzalez_et_al_2015;GLOBAL_ECOLOGY_AND_BIOGEOGRAPHY;machado_et_al_2007;2007;2000;Reused;No;-12.988;-41.34;12.988;41.34;Brazil;BRA;Southern;South America;Neotropic;Tropical_and_subtropical_grasslands,_savannas,_and_shrublands;Campos_Rupestres_montane_savanna;no;no;NER;Mixed;yes;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds
sonne_et_al_2016_X_machado_et_al_2007;2016;sonne_et_al_2016;PROCEEDINGS_OF_THE_ROYAL_SOCIETY_B-BIOLOGICAL_SCIENCES;machado_et_al_2007;2007;2000;Reused;No;-12.988;-41.34;12.988;41.34;Brazil;BRA;Southern;South America;Neotropic;Tropical_and_subtropical_grasslands,_savannas,_and_shrublands;Campos_Rupestres_montane_savanna;no;no;NER;Mixed;yes;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds
araujo_et_al_2018_X_machado_et_al_2007;2018;araujo_et_al_2018;JOURNAL_OF_BIOGEOGRAPHY;machado_et_al_2007;2007;2000;Reused;No;-12.988;-41.34;12.988;41.34;Brazil;BRA;Southern;South America;Neotropic;Tropical_and_subtropical_grasslands,_savannas,_and_shrublands;Campos_Rupestres_montane_savanna;no;no;NER;Mixed;yes;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds
moreira_et_al_2015_X_moreira_et_al_2015;2015;moreira_et_al_2015;PLOS_ONE;moreira_et_al_2015;2015;2010;Original;No;-12.879;-41.4;12.879;41.4;Brazil;BRA;Southern;South America;Neotropic;Tropical_and_subtropical_grasslands,_savannas,_and_shrublands;Campos_Rupestres_montane_savanna;no;no;NER;Mixed;no;yes;order;Hymenoptera;Insects;Hymenop._mixed;Bees_and_wasps;Inv-Hymenoptera
santos_et_al_2013_X_santos_et_al_2013;2013;santos_et_al_2013;APIDOLOGIE;santos_et_al_2013;2013;2010;Original;No;-12.75;-39.433;12.75;39.433;Brazil;BRA;Southern;South America;Neotropic;Tropical_and_subtropical_moist_broadleaf_forests;Bahia_interior_forests;no;no;NER;Mixed;no;yes;superfamily;Apoidea;Insects;Bees;Bees;Inv-Hymenoptera-Bees
santos_et_al_2010_X_aguiar_2003;2010;santos_et_al_2010;APIDOLOGIE;aguiar_2003;2003;2000;Reused;No;-12.7;-39.766;12.7;39.766;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;superfamily;Apoidea;Insects;Bees;Bees;Inv-Hymenoptera-Bees
santos_et_al_2012_X_aguiar_2003;2012;santos_et_al_2012;BIOLOGICAL_INVASIONS;aguiar_2003;2003;2000;Reused;No;-12.7;-39.766;12.7;39.766;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;superfamily;Apoidea;Insects;Bees;Bees;Inv-Hymenoptera-Bees
santos_et_al_2010_X_santos_et_al_2006;2010;santos_et_al_2010;APIDOLOGIE;santos_et_al_2006;2006;2000;Reused;No;-12.7;-39.766;12.7;39.766;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;subfamily;Polistinae;Insects;Wasps;Wasps;Inv-Hymenoptera-Wasps
mello_et_al_2011_X_santos_et_al_2006;2011;mello_et_al_2011;ACTA_OECOLOGICA-INTERNATIONAL_JOURNAL_OF_ECOLOGY;santos_et_al_2006;2006;2000;Reused;No;-12.7;-39.766;12.7;39.766;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;subfamily;Polistinae;Insects;Wasps;Wasps;Inv-Hymenoptera-Wasps
fort_&_mugan_2015_X_santos_et_al_2006;2015;fort_&_mugan_2015;ENTROPY;santos_et_al_2006;2006;2000;Reused;No;-12.7;-39.766;12.7;39.766;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;subfamily;Polistinae;Insects;Wasps;Wasps;Inv-Hymenoptera-Wasps
welti_&_joern_2015_X_santos_et_al_2006;2015;welti_&_joern_2015;ECOLOGY_AND_EVOLUTION;santos_et_al_2006;2006;2000;Reused;No;-12.7;-39.766;12.7;39.766;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;subfamily;Polistinae;Insects;Wasps;Wasps;Inv-Hymenoptera-Wasps
emer_et_al_2016_X_santos_et_al_2006;2016;emer_et_al_2016;DIVERSITY_AND_DISTRIBUTIONS;santos_et_al_2006;2006;2000;Reused;Yes;-12.7;-39.766;12.7;39.766;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;subfamily;Polistinae;Insects;Wasps;Wasps;Inv-Hymenoptera-Wasps
sakai_et_al_2016_X_santos_et_al_2006;2016;sakai_et_al_2016;ROYAL_SOCIETY_OPEN_SCIENCE;santos_et_al_2006;2006;2000;Reused;No;-12.7;-39.766;12.7;39.766;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;subfamily;Polistinae;Insects;Wasps;Wasps;Inv-Hymenoptera-Wasps
takemoto_&_kajihara_2016_X_santos_et_al_2006;2016;takemoto_&_kajihara_2016;PLOS_ONE;santos_et_al_2006;2006;2000;Reused;No;-12.7;-39.766;12.7;39.766;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;subfamily;Polistinae;Insects;Wasps;Wasps;Inv-Hymenoptera-Wasps
nagaishi_&_takemoto_2018_X_santos_et_al_2006;2018;nagaishi_&_takemoto_2018;ROYAL_SOCIETY_OPEN_SCIENCE;santos_et_al_2006;2006;2000;Reused;Yes;-12.7;-39.766;12.7;39.766;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;subfamily;Polistinae;Insects;Wasps;Wasps;Inv-Hymenoptera-Wasps
renaud_et_al_2020_X_santos_et_al_2006;2020;renaud_et_al_2020;ECOLOGY_AND_EVOLUTION;santos_et_al_2006;2006;2000;Reused;Yes;-12.7;-39.766;12.7;39.766;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;subfamily;Polistinae;Insects;Wasps;Wasps;Inv-Hymenoptera-Wasps
mello_et_al_2011_X_silva-pereira_&_santos_2006;2011;mello_et_al_2011;ACTA_OECOLOGICA-INTERNATIONAL_JOURNAL_OF_ECOLOGY;silva-pereira_&_santos_2006;2006;2000;Reused;No;-12.458;-41.465;12.458;41.465;Brazil;BRA;Southern;South America;Neotropic;Tropical_and_subtropical_grasslands,_savannas,_and_shrublands;Campos_Rupestres_montane_savanna;no;no;NER;Mixed;no;yes;order;Hymenoptera;Insects;Hymenop._mixed;Bees_and_wasps;Inv-Hymenoptera
aidar_et_al_2015_X_aidar_et_al_2015;2015;aidar_et_al_2015;SOCIOBIOLOGY;aidar_et_al_2015;2015;2010;Original;No;-12.4;-41.483;12.4;41.483;Brazil;BRA;Southern;South America;Neotropic;Tropical_and_subtropical_grasslands,_savannas,_and_shrublands;Cerrado;no;no;NER;Mixed;no;yes;superfamily;Apoidea;Insects;Bees;Bees;Inv-Hymenoptera-Bees
carvalho_et_al_2013_X_carvalho_et_al_2013;2013;carvalho_et_al_2013;SOCIOBIOLOGY;carvalho_et_al_2013;2013;2010;Original;No;-12.256;-38.965;12.256;38.965;Brazil;BRA;Southern;South America;Neotropic;Tropical_and_subtropical_moist_broadleaf_forests;Bahia_interior_forests;no;no;NER;Mixed;no;yes;tribo;Xilocopini;Insects;Bees;Bees;Inv-Hymenoptera-Bees
carvalho_et_al_2014_X_carvalho_et_al_2013;2014;carvalho_et_al_2014;NEOTROPICAL_ENTOMOLOGY;carvalho_et_al_2013;2013;2010;Reused;No;-12.256;-38.965;12.256;38.965;Brazil;BRA;Southern;South America;Neotropic;Tropical_and_subtropical_moist_broadleaf_forests;Bahia_interior_forests;no;no;NER;Mixed;no;yes;tribo;Xilocopini;Insects;Bees;Bees;Inv-Hymenoptera-Bees
gonzalez_&_loiselle_2016_X_gonzalez_&_loiselle_2016;2016;gonzalez_&_loiselle_2016;PEERJ;gonzalez_&_loiselle_2016;2016;2010;Original;No;-9.708;-76.16;9.708;76.16;Peru;PER;Southern;South America;Neotropic;Tropical_and_subtropical_moist_broadleaf_forests;Peruvian_Yungas;no;no;NER;Mixed;no;yes;class;Birds;Birds;Birds;Birds;Ver-Aves
schleuning_et_al_2012_X_leal_et_al_2006;2012;schleuning_et_al_2012;CURRENT_BIOLOGY;leal_et_al_2006;2006;2000;Reused;No;-8.6;-38.568;8.6;38.568;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds
benevides_et_al_2013_X_benevides_et_al_2013;2013;benevides_et_al_2013;SOCIOBIOLOGY;benevides_et_al_2013;2013;2010;Original;No;-8.505;-37.201;8.505;37.201;Brazil;BRA;Southern;South America;Neotropic;Tropical_and_subtropical_moist_broadleaf_forests;Atlantic_Coast_restingas;no;yes;family;Passifloracea;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
sakai_et_al_2016_X_milet-pinheiro_&_schlindwein_2008;2016;sakai_et_al_2016;ROYAL_SOCIETY_OPEN_SCIENCE;milet-pinheiro_&_schlindwein_2008;2008;2000;Reused;No;-8.188;-35.47;8.188;35.47;Brazil;BRA;Southern;South America;Neotropic;Tropical_and_subtropical_moist_broadleaf_forests;Pernambuco_interior_forests;no;no;NER;Mixed;no;yes;superfamily;Apoidea;Insects;Bees;Bees;Inv-Hymenoptera-Bees
araujo_et_al_2018_X_lopes_2002;2018;araujo_et_al_2018;JOURNAL_OF_BIOGEOGRAPHY;lopes_2002;2002;2000;Reused;No;-8.016;-35.183;8.016;35.183;Brazil;BRA;Southern;South America;Neotropic;Tropical_and_subtropical_moist_broadleaf_forests;Pernambuco_coastal_forests;no;no;NER;Mixed;yes;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds
gonzalez_et_al_2015_X_lascasas_et_al_2012;2015;gonzalez_et_al_2015;GLOBAL_ECOLOGY_AND_BIOGEOGRAPHY;lascasas_et_al_2012;2012;2010;Reused;No;-7.87;-36.4;7.87;36.4;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds
sonne_et_al_2016_X_lascasas_et_al_2012;2016;sonne_et_al_2016;PROCEEDINGS_OF_THE_ROYAL_SOCIETY_B-BIOLOGICAL_SCIENCES;lascasas_et_al_2012;2012;2010;Reused;No;-7.87;-36.4;7.87;36.4;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds
araujo_et_al_2018_X_lascasas_et_al_2012;2018;araujo_et_al_2018;JOURNAL_OF_BIOGEOGRAPHY;lascasas_et_al_2012;2012;2010;Reused;No;-7.87;-36.4;7.87;36.4;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds
santos_et_al_2012_X_aguiar_et_al_1995;2012;santos_et_al_2012;BIOLOGICAL_INVASIONS;aguiar_et_al_1995;1995;1990;Reused;No;-7.416;-36.5;7.416;36.5;Brazil;BRA;Southern;South America;Neotropic;Deserts_and_xeric_shrublands;Caatinga;no;no;NER;Mixed;no;yes;superfamily;Apoidea;Insects;Bees;Bees;Inv-Hymenoptera-Bees
seitz_et_al_2020_X_seitz_et_al_2020;2020;seitz_et_al_2020;ECOLOGY_AND_EVOLUTION;seitz_et_al_2020;2020;2020;Original;No;-5.832;-36.204;5.832;36.204;USA;USA;Northern;North America;Nearctic;Temperate_broadleaf_and_mixed_forests;Southeastern_mixed_forests;no;no;NER;Mixed;no;yes;superfamily;Apoidea;Insects;Bees;Bees;Inv-Hymenoptera-Bees
kaiser-bunbury_et_al_2011_X_kaiser-bunbury_et_al_2011_lareserve;2011;kaiser-bunbury_et_al_2011;JOURNAL_OF_ECOLOGY;kaiser-bunbury_et_al_2011_lareserve;2011;2010;Reused;No;-4.709;55.503;4.709;55.503;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
carvalheiro_et_al_2014_X_kaiser-bunbury_et_al_2011_lareserve;2014;carvalheiro_et_al_2014;ECOLOGY_LETTERS;kaiser-bunbury_et_al_2011_lareserve;2011;2010;Reused;No;-4.709;55.503;4.709;55.503;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
kaiser-bunbury_et_al_2014_X_kaiser-bunbury_et_al_2011_lareserve;2014;kaiser-bunbury_et_al_2014;ECOLOGY;kaiser-bunbury_et_al_2011_lareserve;2011;2010;Reused;No;-4.709;55.503;4.709;55.503;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
kaiser-bunbury_et_al_2017_X_kaiser-bunbury_et_al_2011_lareserve;2017;kaiser-bunbury_et_al_2017;NATURE;kaiser-bunbury_et_al_2011_lareserve;2011;2010;Reused;No;-4.709;55.503;4.709;55.503;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
maia_et_al_2019_a_X_kaiser-bunbury_et_al_2011_lareserve;2019;maia_et_al_2019_a;OIKOS;kaiser-bunbury_et_al_2011_lareserve;2011;2010;Reused;Yes;-4.709;55.503;4.709;55.503;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
renaud_et_al_2020_X_kaiser-bunbury_et_al_2011_lareserve;2020;renaud_et_al_2020;ECOLOGY_AND_EVOLUTION;kaiser-bunbury_et_al_2011_lareserve;2011;2010;Reused;Yes;-4.709;55.503;4.709;55.503;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
kaiser-bunbury_et_al_2011_X_kaiser-bunbury_et_al_2011_bernica;2011;kaiser-bunbury_et_al_2011;JOURNAL_OF_ECOLOGY;kaiser-bunbury_et_al_2011_bernica;2011;2010;Reused;No;-4.668;55.447;4.668;55.447;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
kaiser-bunbury_et_al_2011_X_kaiser-bunbury_et_al_2011_copolia;2011;kaiser-bunbury_et_al_2011;JOURNAL_OF_ECOLOGY;kaiser-bunbury_et_al_2011_copolia;2011;2010;Reused;No;-4.668;55.456;4.668;55.456;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
carvalheiro_et_al_2014_X_kaiser-bunbury_et_al_2011_bernica;2014;carvalheiro_et_al_2014;ECOLOGY_LETTERS;kaiser-bunbury_et_al_2011_bernica;2011;2010;Reused;No;-4.668;55.447;4.668;55.447;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
carvalheiro_et_al_2014_X_kaiser-bunbury_et_al_2011_copolia;2014;carvalheiro_et_al_2014;ECOLOGY_LETTERS;kaiser-bunbury_et_al_2011_copolia;2011;2010;Reused;No;-4.668;55.456;4.668;55.456;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
kaiser-bunbury_et_al_2014_X_kaiser-bunbury_et_al_2011_bernica;2014;kaiser-bunbury_et_al_2014;ECOLOGY;kaiser-bunbury_et_al_2011_bernica;2011;2010;Reused;No;-4.668;55.447;4.668;55.447;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
kaiser-bunbury_et_al_2014_X_kaiser-bunbury_et_al_2011_copolia;2014;kaiser-bunbury_et_al_2014;ECOLOGY;kaiser-bunbury_et_al_2011_copolia;2011;2010;Reused;No;-4.668;55.456;4.668;55.456;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
kaiser-bunbury_et_al_2017_X_kaiser-bunbury_et_al_2011_bernica;2017;kaiser-bunbury_et_al_2017;NATURE;kaiser-bunbury_et_al_2011_bernica;2011;2010;Reused;No;-4.668;55.447;4.668;55.447;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
kaiser-bunbury_et_al_2017_X_kaiser-bunbury_et_al_2011_copolia;2017;kaiser-bunbury_et_al_2017;NATURE;kaiser-bunbury_et_al_2011_copolia;2011;2010;Reused;No;-4.668;55.456;4.668;55.456;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
renaud_et_al_2020_X_kaiser-bunbury_et_al_2011_bernica;2020;renaud_et_al_2020;ECOLOGY_AND_EVOLUTION;kaiser-bunbury_et_al_2011_bernica;2011;2010;Reused;Yes;-4.668;55.447;4.668;55.447;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
renaud_et_al_2020_X_kaiser-bunbury_et_al_2011_copolia;2020;renaud_et_al_2020;ECOLOGY_AND_EVOLUTION;kaiser-bunbury_et_al_2011_copolia;2011;2010;Reused;Yes;-4.668;55.456;4.668;55.456;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
kaiser-bunbury_et_al_2011_X_kaiser-bunbury_et_al_2011_teaplantation;2011;kaiser-bunbury_et_al_2011;JOURNAL_OF_ECOLOGY;kaiser-bunbury_et_al_2011_teaplantation;2011;2010;Reused;No;-4.661;55.439;4.661;55.439;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
carvalheiro_et_al_2014_X_kaiser-bunbury_et_al_2011_teaplantation;2014;carvalheiro_et_al_2014;ECOLOGY_LETTERS;kaiser-bunbury_et_al_2011_teaplantation;2011;2010;Reused;No;-4.661;55.439;4.661;55.439;Seychelles;SYC;Southern;Africa;Afrotropical;Tropical_and_subtropical_moist_broadleaf_forests;Granitic_Seychelles_forests;4;no;NER;Mixed;no;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed
