Web_Code;Use_Frequency;Publi_Year;Publi_Decade;Alt_Orig(m);LAT;LONG;Region;Country;ISO3;Hemisphere;Locality;Continent;Realm_WWF;Biome_WWF;Ecoregion_WWF;First_Sampling_Year;Last_Sampling_Year;Seasons;Obs;Metanetwork;Plant_taxon_criterion?;Plant_Taxonomic_level;Plant_taxon;Plant_trait_criterion?;Plant_selected_trait;Animal_taxon_criterion?;Animal_Taxonomic_level;Animal_taxon;Animal_taxon_2;Animal_taxon_3;Animal_taxon_4;Animal_taxon_5;Animal_trait_criterion?;Animal_selected_trait;Interaction-based_criterion?;Interaction-criterion;Sampling_hour_1;Sampling_hour_2;Sampling_hour_3;Sampling_months_1;Sampling_months_2;Sampling_months_3;Sampling_duration_months;Sampling_duration_years;Sampling_duration_days;Sampling_duration_hours;Sampling_unit;Used_Chapter_1;Data_Availability;Interact_Data;Network_Size(N);Rich_Plants;Plan_Not_Id;Rich_Users;User_Not_Id;Plan_Not_Id (%);User_Not_Id (%);Resol_Taxon_Plant_1;Resol_Taxon_User_1;Plant_No_Taxon;Plant_ID_Family;Plant_ID_Genus;Plant_ID_Species;Resol_Taxon_Plant_2;User_No_Taxon;User_ID_Phylum;User_ID_Class;User_ID_order;User_ID_Superfamily;User_ID_family;User_ID_Tribe;User_ID_Genus;User_ID_Species;Resol_Taxon_User_2;Dados_Abund_Plant;Dados_Abund_Users
aguiar_et_al_1995;1;1995;1990;;-7.416;-36.5;Tropical;Brazil;BRA;Southern;São João do Cariri - PB;SA;Neotropic;Deserts and xeric shrublands;Caatinga;1993;1994;;;;no;NER;Mixed;no;;yes;superfamily;Apoidea;Insects;Bees;Bees;Inv-Hymenoptera-Bees;no;;no;;08to16;;;07to12;01to06;;12;1;24;192;individual plant;Yes;Yes;2;91;51;2;40;0;3,92;0;96,08;100;2;1;5;43;0,72;0;0;0;0;0;0;0;14;26;0,74;1;2
aidar_et_al_2015;1;2015;2010;;-18.860;-48.231;Tropical;Brazil;BRA;Southern;Uberlândia - MG;SA;Neotropic;Tropical and subtropical grasslands, savannas, and shrublands;Cerrado;2010;2011;;Species list but no interaction data;;no;NER;Mixed;no;;yes;superfamily;Apoidea;Insects;Bees;Bees;Inv-Hymenoptera-Bees;no;;no;;08to14.5;;;10to12;01to09;;12;1;13;84;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
aizen_et_al_2008_1;4;2008;2000;;-41.000;-71.500;Temperate;Argentina;ARG;Southern;Nahuel Huapi National Park;SA;Neotropic;Temperate broadleaf and mixed forests;Valdivian temperate forests;2000;2001;;;1;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;;;;;2;73;51,21875;individual plant;Yes;Yes;4;21;4;0;17;10;0;58,82;100;41,18;0;0;0;4;1;0;0;0;2;0;4;0;4;7;0,41;1;2
aizen_et_al_2008_2;4;2008;2000;;-41.000;-71.500;Temperate;Argentina;ARG;Southern;Nahuel Huapi National Park;SA;Neotropic;Temperate broadleaf and mixed forests;Valdivian temperate forests;2000;2001;;;1;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;;;;;2;73;51,21875;individual plant;Yes;Yes;4;36;7;0;29;14;0;48,28;100;51,72;0;0;0;7;1;0;0;0;3;0;8;0;3;15;0,43;1;2
aizen_et_al_2008_3;4;2008;2000;;-41.000;-71.500;Temperate;Argentina;ARG;Southern;Nahuel Huapi National Park;SA;Neotropic;Temperate broadleaf and mixed forests;Valdivian temperate forests;2000;2001;;;1;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;;;;;2;73;51,21875;individual plant;Yes;Yes;4;46;12;0;34;18;0;52,94;100;47,06;0;0;0;12;1;0;0;0;4;0;9;0;5;16;0,41;1;2
aizen_et_al_2008_4;4;2008;2000;;-41.000;-71.500;Temperate;Argentina;ARG;Southern;Nahuel Huapi National Park;SA;Neotropic;Temperate broadleaf and mixed forests;Valdivian temperate forests;2000;2001;;;1;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;;;;;2;73;51,21875;individual plant;Yes;Yes;4;67;17;0;50;26;0;52;100;48;0;0;0;17;1;0;0;0;6;0;13;0;7;24;0,42;1;2
aizen_et_al_2008_5;5;2008;2000;;-41.000;-71.500;Temperate;Argentina;ARG;Southern;Nahuel Huapi National Park;SA;Neotropic;Temperate broadleaf and mixed forests;Valdivian temperate forests;2000;2001;;;1;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;;;;;2;73;51,21875;individual plant;Yes;Yes;4;41;11;0;30;14;0;46,67;100;53,33;0;0;0;11;1;0;0;0;5;0;5;0;3;17;0,44;1;2
aizen_et_al_2008_6;4;2008;2000;;-41.000;-71.500;Temperate;Argentina;ARG;Southern;Nahuel Huapi National Park;SA;Neotropic;Temperate broadleaf and mixed forests;Valdivian temperate forests;2000;2001;;;1;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;;;;;2;73;51,21875;individual plant;Yes;Yes;4;71;17;0;54;29;0;53,7;100;46,3;0;0;0;17;1;0;0;0;8;0;13;0;7;26;0,41;1;2
aizen_et_al_2008_7;4;2008;2000;;-41.000;-71.500;Temperate;Argentina;ARG;Southern;Nahuel Huapi National Park;SA;Neotropic;Temperate broadleaf and mixed forests;Valdivian temperate forests;2000;2001;;;1;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;;;;;2;73;51,21875;individual plant;Yes;Yes;4;50;14;0;36;21;0;58,33;100;41,67;0;0;0;14;1;0;0;0;4;0;12;0;5;15;0,39;1;2
aizen_et_al_2008_8;4;2008;2000;;-41.000;-71.500;Temperate;Argentina;ARG;Southern;Nahuel Huapi National Park;SA;Neotropic;Temperate broadleaf and mixed forests;Valdivian temperate forests;2000;2001;;;1;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;;;;;2;73;51,21875;individual plant;Yes;Yes;4;53;16;0;37;19;0;51,35;100;48,65;0;0;0;16;1;0;0;0;4;0;8;0;7;18;0,44;1;2
